Symbol,Company Name,Industry,Market Cap
CYTH,Cyclo Therapeutics,Drug Manufacturers - Specialty & Generic,8655018
CYTK,"Cytokinetics,",Biotechnology,3588536394
CYTO,Altamira Therapeutics,Biotechnology,3223787
CYXT,Cyxtera Technologies,Information Technology Services,56869986
CZFS,Citizens Financial Services,Banks - Regional,332707974
CZNC,Citizens & Northern,Banks - Regional,321840772
CZOO,Cazoo Group,Auto & Truck Dealerships,101881635
CZR,Caesars Entertainment,Resorts & Casinos,10604119286
CZWI,Citizens Community Bancorp,Banks - Regional,111327336
D,Dominion Energy,Utilities - Regulated Electric,46414898515
DAC,Danaos,Marine Shipping,1121268470
DADA,Dada Nexus,Internet Retail,2156259572
DAIO,Data I/O,Electronic Components,43376590
DAKT,Daktronics,Electronic Components,254153263
DAL,Delta Air Lines,Airlines,22052208385
DALN,DallasNews,Publishing,23658006
DALS,DA32 Life Science Tech Acquisition,Shell Companies,259834500
DAN,Dana Incorporated,Auto Parts,2186584229
DAO,Youdao,Education & Training Services,1122383790
DAR,Darling Ingredients,Packaged Foods,9429774760
DARE,Daré Bioscience,Biotechnology,84820896
DASH,DoorDash,Internet Content & Information,25069339568
DATS,DatChat,Software - Application,10957817
DAVA,Endava,Software - Infrastructure,3778288095
DAVE,Dave Inc.,Software - Application,71701569
DAWN,Day One Biopharmaceuticals,Biotechnology,965462804
DB,Deutsche Bank Aktiengesellschaft,Banks - Regional,21152779200
DBD,"Diebold Nixdorf,",Software - Application,96328700
DBGI,Digital Brands Group,Apparel Retail,6303524
DBI,Designer Brands,Apparel Retail,570970962
DBRG,DigitalBridge Group,REIT - Diversified,1878319656
DBTX,Decibel Therapeutics,Biotechnology,80798450
DBVT,DBV Technologies,Biotechnology,321948540
DBX,Dropbox,Software - Infrastructure,7640268193
DC,Dakota Gold,Gold,280089573
DCBO,Docebo,Software - Application,1285291700
DCFC,Tritium DCFC,Electrical Equipment & Parts,182422240
DCGO,DocGo,Medical Care Facilities,881568800
DCI,Donaldson Company,Specialty Industrial Machinery,7914471760
DCO,Ducommun,Aerospace & Defense,665896275
DCOM,Dime Community Bancshares,Banks - Regional,871165561
DCP,"DCP Midstream, LP",Oil & Gas Midstream,8721603155
DCPH,Deciphera Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1212118844
DCTH,Delcath Systems,Medical Devices,59683072
DD,DuPont de Nemours,Specialty Chemicals,32949917670
DDD,3D Systems,Computer Hardware,1391554550
DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,397170501
DDL,Dingdong (Cayman),Grocery Stores,839337120
DDOG,Datadog,Software - Application,22606838663
DDS,Dillard's,Department Stores,5469104512
DE,Deere & Company,Farm & Heavy Construction Machinery,122970660140
DEA,Easterly Government Properties,REIT - Office,2408452725
DECA,Denali Capital Acquisition,Shell Companies,113311575
DECK,Deckers Outdoor,Footwear & Accessories,11954996922
DEI,Douglas Emmett,REIT - Office,2530972500
DELL,Dell Technologies,Computer Hardware,29957467293
DEN,Denbury,Oil & Gas E&P,4510492850
DENN,Denny's,Restaurants,625187892
DEO,Diageo,Beverages - Wineries & Distilleries,102418083092
DERM,Journey Medical,Drug Manufacturers - Specialty & Generic,27583335
DESP,Despegar.com,Travel Services,411336117
DFFN,Diffusion Pharmaceuticals,Biotechnology,8302312
DFH,Dream Finders Homes,Residential Construction,1231243234
DFIN,Donnelley Financial Solutions,Capital Markets,1192463512
DFLI,Dragonfly Energy Holdings,Electrical Equipment & Parts,128952646
DFS,Discover Financial Services,Credit Services,25630053229
DG,Dollar General,Discount Stores,46422411960
DGHI,Digihost Technology,Software - Application,42290656
DGICA,Donegal Group,Insurance - Property & Casualty,500559744
DGICB,Donegal Group,Insurance - Property & Casualty,490132544
DGII,Digi International,Communication Equipment,1210278296
DGLY,Digital Ally,Security & Protection Services,11461507
DGX,Quest Diagnostics,Diagnostics & Research,15882452410
DH,Definitive Healthcare,Health Information Services,1093195680
DHAC,Digital Health Acquisition,Shell Companies,46295066
DHC,Diversified Healthcare Trust,REIT - Healthcare Facilities,313987340
DHCA,DHC Acquisition,Shell Companies,124447140
DHI,D.R. Horton,Residential Construction,33693720375
DHIL,Diamond Hill Investment Group,Asset Management,508416974
DHR,Danaher,Diagnostics & Research,182342371631
DHT,DHT Holdings,Oil & Gas Midstream,1564675277
DHX,DHI Group,Staffing & Employment Services,188721233
DIBS,1stdibs.Com,Internet Retail,156680118
DICE,DICE Therapeutics,Biotechnology,1340204799
DIN,Dine Brands Global,Restaurants,1069467012
DINO,HF Sinclair,Oil & Gas Refining & Marketing,9552296340
DIOD,Diodes,Semiconductors,4172949858
DIS,The Walt Disney Company,Entertainment,182242564004
DISA,Disruptive Acquisition Corporation I,Shell Companies,357156240
DISH,DISH Network,Telecom Services,4806925437
DIST,Distoken Acquisition,Shell Companies,90462150
DIT,AMCON Distributing Company,Food Distribution,102351210
DJCO,Daily Journal,Software - Application,388322460
DK,Delek US Holdings,Oil & Gas Refining & Marketing,1557601200
DKDCA,Data Knights Acquisition,Shell Companies,66438218
DKL,"Delek Logistics Partners, LP",Oil & Gas Midstream,2130504540
DKNG,DraftKings,Gambling,8790749112
DKS,DICK'S Sporting Goods,Specialty Retail,12600415483
DLA,Delta Apparel,Apparel Manufacturing,79531587
DLB,Dolby Laboratories,Information Technology Services,8191814402
DLHC,DLH Holdings,Specialty Business Services,150364010
DLNG,Dynagas LNG Partners LP,Oil & Gas Midstream,105990336
DLO,DLocal,Software - Infrastructure,5141259276
DLPN,Dolphin Entertainment,Entertainment,18691803
DLR,Digital Realty Trust,REIT - Office,27183742720
DLTH,Duluth Holdings,Apparel Retail,212254465
DLTR,Dollar Tree,Discount Stores,32743956280
DLX,Deluxe,Advertising Agencies,698800248
DM,Desktop Metal,Computer Hardware,733272237
DMAC,DiaMedica Therapeutics,Biotechnology,42337120
DMAQ,Deep Medicine Acquisition,Shell Companies,48994414
DMLP,"Dorchester Minerals,",Oil & Gas E&P,1175702760
DMRC,Digimarc,Information Technology Services,413122980
DMS,Digital Media Solutions,Advertising Agencies,35498473
DMTK,DermTech,Diagnostics & Research,115091688
DMYS,"dMY Technology Group, Inc. VI",Shell Companies,317235220
DMYY,dMY Squared Technology Group,Shell Companies,82908150
DNA,Ginkgo Bioworks Holdings,Biotechnology,2632176653
DNAB,Social Capital Suvretta Holdings Corp. II,Shell Companies,325915800
DNAD,Social Capital Suvretta Holdings Corp. IV,Shell Companies,325915800
DNB,Dun & Bradstreet Holdings,Financial Data & Stock Exchanges,5017616548
DNLI,Denali Therapeutics,Biotechnology,3194164860
DNMR,Danimer Scientific,Specialty Chemicals,396538820
DNN,Denison Mines,Uranium,902189906
DNOW,NOW Inc.,Oil & Gas Equipment & Services,1224629700
DNUT,Krispy Kreme,Grocery Stores,2597145000
DO,Diamond Offshore Drilling,Oil & Gas Drilling,1291830000
DOC,Physicians Realty Trust,REIT - Healthcare Facilities,3633858037
DOCN,DigitalOcean Holdings,Software - Infrastructure,3729905014
DOCS,Doximity,Health Information Services,6096149037
DOCU,DocuSign,Software - Application,11726641935
DOGZ,Dogness (International),Leisure,29494999
DOLE,Dole plc,Farm Products,1153974272
DOMA,Doma Holdings,Real Estate Services,127797974
DOMH,Dominari Holdings,Biotechnology,17442618
DOMO,"Domo, Inc.",Software - Application,490535908
DOOO,BRP Inc.,Recreational Vehicles,6039748253
DOOR,Masonite International,Building Products & Equipment,2025329068
DORM,Dorman Products,Auto Parts,2691437463
DOUG,Douglas Elliman,Real Estate Services,256624640
DOV,Dover,Specialty Industrial Machinery,21038332124
DOW,Dow Inc.,Chemicals,39173030927
DOX,Amdocs,Software - Infrastructure,11662065480
DOYU,DouYu International Holdings,Internet Content & Information,377805960
DPCS,DP Cap Acquisition Corp I,Shell Companies,299862500
DPRO,Draganfly,Aerospace & Defense,45480500
DPSI,Decisionpoint Systems,Software - Application,45309626
DPZ,Domino's Pizza,Restaurants,11777326368
DQ,Daqo New Energy,Semiconductor Equipment & Materials,3432570483
DRCT,Direct Digital Holdings,Advertising Agencies,10051028
DRD,DRDGOLD,Gold,841756776
DRH,DiamondRock Hospitality Company,REIT - Hotel & Motel,1706812020
DRI,Darden Restaurants,Restaurants,18729182450
DRIO,DarioHealth,Diagnostics & Research,101676567
DRMA,Dermata Therapeutics,Biotechnology,1111564
DRQ,Dril-Quip,Oil & Gas Equipment & Services,1017639182
DRRX,DURECT,Drug Manufacturers - Specialty & Generic,107978409
DRS,Leonardo DRS,Aerospace & Defense,3523806167
DRTS,Alpha Tau Medical,Biotechnology,203946197
DRTT,DIRTT Environmental Solutions,Engineering & Construction,49862503
DRUG,Bright Minds Biosciences,Biotechnology,8522587
DRVN,Driven Brands Holdings,Auto & Truck Dealerships,5075106400
DSAQ,Direct Selling Acquisition,Shell Companies,300725000
DSEY,Diversey Holdings,Personal Services,2625827865
DSGN,Design Therapeutics,Biotechnology,336219233
DSGR,Distribution Solutions Group,Industrial Distribution,933363504
DSGX,The Descartes Systems Group,Software - Application,6782431088
DSKE,Daseke,Trucking,346994332
DSP,Viant Technology,Software - Application,269760520
DSS,"DSS, Inc.",Packaging & Containers,30903477
DSWL,Deswell Industries,Electronic Components,42068928
DSX,Diana Shipping,Marine Shipping,411911190
DT,Dynatrace,Software - Application,12212447000
DTC,Solo Brands,Internet Retail,481973573
DTE,DTE Energy Company,Utilities - Regulated Electric,22463710920
DTEA,DAVIDsTEA,Packaged Foods,13516668
DTIL,Precision BioSciences,Biotechnology,86508552
DTM,DT Midstream,Oil & Gas Midstream,4752376020
DTOC,Digital Transformation Opportunities,Shell Companies,428339063
DTSS,Datasea,Software - Infrastructure,28941409
DTST,Data Storage,Information Technology Services,12416277
DUET,DUET Acquisition,Shell Companies,116627700
DUK,Duke Energy,Utilities - Regulated Electric,73280918320
DUNE,Dune Acquisition,Shell Companies,54450991
DUO,Fangdd Network Group,Real Estate Services,6532802
DUOL,Duolingo,Software - Application,5814184286
DUOT,Duos Technologies Group,Software - Application,27196144
DV,DoubleVerify Holdings,Software - Application,5121714532
DVA,DaVita,Medical Care Facilities,7384776000
DVAX,Dynavax Technologies,Drug Manufacturers - Specialty & Generic,1265378170
DVN,Devon Energy,Oil & Gas E&P,34864740000
DWAC,Digital World Acquisition,Shell Companies,567524160
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,43751050
DX,Dynex Capital,REIT - Mortgage,650343712
DXC,DXC Technology Company,Information Technology Services,5767185060
DXCM,DexCom,Medical Devices,44530351204
DXF,Dunxin Financial Holdings,Credit Services,2852099
DXLG,Destination XL Group,Apparel Retail,356307231
DXPE,DXP Enterprises,Industrial Distribution,513214545
DXR,Daxor,Medical Instruments & Supplies,47030018
DXYN,The Dixie Group,Textile Manufacturing,11686950
DY,Dycom Industries,Engineering & Construction,2722410522
DYAI,Dyadic International,Biotechnology,48800056
DYN,Dyne Therapeutics,Biotechnology,622537110
DYNT,Dynatronics,Medical Devices,5799780
DZSI,DZS Inc.,Communication Equipment,240938688
E,Eni S.p.A.,Oil & Gas Integrated,49244288942
EA,Electronic Arts,Electronic Gaming & Multimedia,33277567800
EAC,Edify Acquisition,Shell Companies,88109392
EAF,GrafTech International,Electrical Equipment & Parts,1259974740
EAR,Eargo,Medical Devices,94167772
EARN,Ellington Residential Mortgage REIT,REIT - Mortgage,99502430
EAST,Eastside Distilling,Beverages - Wineries & Distilleries,4249584
EAT,Brinker International,Restaurants,1655443153
EB,Eventbrite,Software - Application,854362046
EBAY,eBay Inc.,Internet Retail,23773046400
EBC,Eastern Bankshares,Banks - Regional,2230337520
EBET,"EBET, Inc.",Gambling,10060394
EBF,Ennis,Business Equipment & Supplies,545664768
EBIX,"Ebix, Inc.",Software - Application,395862306
EBMT,Eagle Bancorp Montana,Banks - Regional,111363877
EBON,Ebang International Holdings,Computer Hardware,43891678
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities - Regulated Electric,15042291374
EBS,Emergent BioSolutions,Drug Manufacturers - Specialty & Generic,490872558
EBTC,Enterprise Bancorp,Banks - Regional,382329030
EC,Ecopetrol,Oil & Gas Integrated,22901946378
ECBK,ECB Bancorp,Banks - Regional,128269995
ECC,Eagle Point Credit Company,Asset Management,625873020
ECL,Ecolab,Specialty Chemicals,47260916056
ECOR,electroCore,Medical Devices,24945287
ECPG,Encore Capital Group,Mortgage Finance,1176396988
ECVT,Ecovyst,Specialty Chemicals,1352670120
ECX,ECARX Holdings,Auto Parts,1994004592
ED,Consolidated Edison,Utilities - Regulated Electric,33761228289
EDAP,EDAP TMS,Medical Devices,400489924
EDBL,Edible Garden AG,Farm Products,4516483
EDIT,Editas Medicine,Biotechnology,488309016
EDN,Empresa Distribuidora y Comercializadora Norte,Utilities - Regulated Electric,761843219
EDR,Endeavor Group Holdings,Entertainment,6564265080
EDRY,EuroDry,Marine Shipping,47283680
EDSA,Edesa Biotech,Biotechnology,20012565
EDTK,Skillful Craftsman Education Technology,Education & Training Services,28757000
EDTX,EdtechX Holdings Acquisition Corp. II,Shell Companies,63379949
EDU,New Oriental Education & Technology Group,Education & Training Services,6753336120
EDUC,Educational Development,Publishing,25617073
EE,Excelerate Energy,Utilities - Renewable,2344175335
EEFT,Euronet Worldwide,Software - Infrastructure,5507788148
EEIQ,Elite Education Group International,Education & Training Services,14756568
EEX,Emerald Holding,Advertising Agencies,266774688
EFC,Ellington Financial,REIT - Mortgage,838744520
EFHT,EF Hutton Acquisition Corporation I Common Stock,Shell Companies,150422100
EFOI,Energy Focus,"Furnishings, Fixtures & Appliances",9521691
EFSC,Enterprise Financial Services,Banks - Regional,1661063460
EFSH,1847 Holdings LLC,Conglomerates,4046211
EFTR,eFFECTOR Therapeutics,Biotechnology,15285633
EFX,Equifax,Consulting Services,24921428480
EFXT,Enerflex,Oil & Gas Equipment & Services,768419190
EGAN,eGain,Software - Application,245486952
EGBN,Eagle Bancorp,Banks - Regional,1032771467
EGGF,EG Acquisition,Shell Companies,287156260
EGHT,"8x8, Inc.",Software - Application,461235840
EGIO,Edgio,Software - Infrastructure,169512519
EGLE,Eagle Bulk Shipping,Marine Shipping,616475742
EGLX,Enthusiast Gaming Holdings,Internet Content & Information,88768523
EGO,Eldorado Gold,Gold,1979218624
EGP,EastGroup Properties,REIT - Industrial,7196057968
EGRX,Eagle Pharmaceuticals,Drug Manufacturers - Specialty & Generic,387946530
EGY,VAALCO Energy,Oil & Gas E&P,541798560
EH,EHang Holdings,Aerospace & Defense,637106283
EHAB,Enhabit,Medical Care Facilities,668359848
EHC,Encompass Health,Medical Care Facilities,5395252340
EHTH,eHealth,Insurance Brokers,256255136
EIC,Eagle Point Income Company,,109686921
EIG,Employers Holdings,Insurance - Specialty,1135328400
EIGR,Eiger BioPharmaceuticals,Biotechnology,39989847
EIX,Edison International,Utilities - Regulated Electric,26990509144
EJH,E-Home Household Service Holdings,Personal Services,22904310
EKSO,Ekso Bionics Holdings,Medical Instruments & Supplies,21212985
EL,The Estée Lauder Companies,Household & Personal Products,88158322319
ELA,Envela,Luxury Goods,175009900
ELAN,Elanco Animal Health,Drug Manufacturers - Specialty & Generic,4546772824
ELBM,Electra Battery Materials,Other Industrial Metals & Mining,68731455
ELDN,Eledon Pharmaceuticals,Biotechnology,29852256
ELEV,Elevation Oncology,Biotechnology,44729307
ELF,e.l.f. Beauty,Household & Personal Products,4438915563
ELLO,Ellomay Capital,Utilities - Renewable,154231200
ELMD,Electromed,Medical Devices,87525565
ELME,Elme Communities,REIT - Office,1556675000
ELOX,Eloxx Pharmaceuticals,Biotechnology,5654330
ELP,Companhia Paranaense de Energia - COPEL,Utilities - Diversified,18170691256
ELS,Equity LifeStyle Properties,REIT - Residential,13010706947
ELSE,Electro-Sensors,Scientific & Technical Instruments,15597491
ELTK,Eltek,Electronic Components,23632707
ELV,Elevance Health,Healthcare Plans,113146362420
ELVN,Enliven Therapeutics,Biotechnology,908404725
ELYM,Eliem Therapeutics,Biotechnology,77046330
ELYS,Elys Game Technology,Gambling,20182656
EM,Smart Share Global,Personal Services,281876520
EMAN,eMagin,Electronic Components,178109712
EMBC,Embecta,Drug Manufacturers - Specialty & Generic,1561840164
EMBK,Embark Technology,Software - Application,63473344
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,Shell Companies,202107325
EME,EMCOR Group,Engineering & Construction,7845596856
EMKR,EMCORE,Semiconductors,43399230
EML,The Eastern Company,Tools & Accessories,119088697
EMLD,FTAC Emerald Acquisition,Shell Companies,352187322
EMN,Eastman Chemical Company,Specialty Chemicals,10056438580
EMR,Emerson Electric Co.,Specialty Industrial Machinery,49848936000
EMX,EMX Royalty,Other Industrial Metals & Mining,225754560
ENB,Enbridge,Oil & Gas Midstream,78992521172
ENCP,Energem,Shell Companies,157227705
ENER,Accretion Acquisition,Shell Companies,268265801
ENFN,Enfusion,Software - Application,757772236
ENG,ENGlobal,Engineering & Construction,15133094
ENIC,Enel Chile,Utilities - Regulated Electric,3582824824
ENLC,"EnLink Midstream, LLC",Oil & Gas Midstream,5242885040
ENLT,Enlight Renewable Energy,Utilities - Renewable,1966706688
ENLV,Enlivex Therapeutics,Biotechnology,68312931
ENOB,Enochian Biosciences,Biotechnology,56262555
ENOV,Enovis,Specialty Industrial Machinery,2904768444
ENPH,Enphase Energy,Solar,27654290579
ENR,Energizer Holdings,Electrical Equipment & Parts,2487088140
ENS,EnerSys,Electrical Equipment & Parts,3500070840
ENSC,Ensysce Biosciences,Biotechnology,70620320
ENSG,The Ensign Group,Medical Care Facilities,5303466636
ENSV,Enservco,Oil & Gas Equipment & Services,10262720
ENTA,Enanta Pharmaceuticals,Biotechnology,831696448
ENTF,Enterprise 4.0 Technology Acquisition,Shell Companies,398808010
ENTG,Entegris,Semiconductor Equipment & Materials,11778478730
ENTX,Entera Bio,Biotechnology,28953949
ENV,Envestnet,Software - Application,3157997508
ENVA,Enova International,Credit Services,1389536868
ENVB,Enveric Biosciences,Biotechnology,3321491
ENVX,Enovix,Electrical Equipment & Parts,2257831800
ENZ,Enzo Biochem,Diagnostics & Research,116210952
EOCW,Elliott Opportunity II,Shell Companies,779398176
EOG,EOG Resources,Oil & Gas E&P,71355574725
EOLS,Evolus,Drug Manufacturers - Specialty & Generic,477242982
EOSE,Eos Energy Enterprises,Electrical Equipment & Parts,259039800
EP,Empire Petroleum,Oil & Gas E&P,273107796
EPAC,Enerpac Tool Group,Specialty Industrial Machinery,1456951496
EPAM,EPAM Systems,Information Technology Services,17143055160
EPC,Edgewell Personal Care Company,Household & Personal Products,2244360780
EPD,Enterprise Products Partners L.P.,Oil & Gas Midstream,56679852024
EPIX,ESSA Pharma,Biotechnology,130513504
EPM,Evolution Petroleum,Oil & Gas E&P,227254602
EPOW,Sunrise New Energy Co.,Consulting Services,66470880
EPR,EPR Properties,REIT - Specialty,2893310154
EPRT,Essential Properties Realty Trust,REIT - Diversified,3564026388
EPSN,Epsilon Energy,Oil & Gas E&P,123802560
EQ,Equillium,Biotechnology,25810575
EQBK,Equity Bancshares,Banks - Regional,390218010
EQC,Equity Commonwealth,REIT - Office,2222992690
EQH,Equitable Holdings,Insurance - Diversified,9077812499
EQIX,Equinix,REIT - Specialty,65872142790
EQNR,Equinor ASA,Oil & Gas Integrated,94643918853
EQR,Equity Residential,REIT - Residential,23413420336
EQRX,"EQRx, Inc.",Biotechnology,957661896
EQS,Equus Total Return,Asset Management,21358598
EQT,EQT Corporation,Oil & Gas E&P,11459448000
EQX,Equinox Gold,Gold,1648067604
ERAS,Erasca,Biotechnology,474355325
ERES,East Resources Acquisition Company,Shell Companies,189860400
ERF,Enerplus,Oil & Gas E&P,3346780800
ERIC,Telefonaktiebolaget LM Ericsson (publ),Communication Equipment,19314811443
ERIE,Erie Indemnity Company,Insurance Brokers,12166291266
ERII,Energy Recovery,Pollution & Treatment Controls,1332693824
ERJ,Embraer,Aerospace & Defense,2986165390
ERNA,Eterna Therapeutics,Biotechnology,17817081
ERO,Ero Copper,Copper,1670834105
ERYP,ERYTECH Pharma,Biotechnology,31107807
ES,Eversource Energy,Utilities - Regulated Electric,26990776311
ESAB,ESAB Corporation,Metal Fabrication,3579170916
ESAC,ESGEN Acquisition,Shell Companies,361904979
ESBA,"Empire State Realty OP,",REIT - Office,1737502457
ESCA,"Escalade,",Leisure,196964193
ESE,ESCO Technologies,Scientific & Technical Instruments,2450839140
ESEA,Euroseas,Marine Shipping,132076858
ESGR,Enstar Group,Insurance - Diversified,4086995918
ESI,Element Solutions,Specialty Chemicals,4547203711
ESLT,Elbit Systems,Aerospace & Defense,7551032544
ESMT,EngageSmart,Software - Infrastructure,3126014940
ESNT,Essent Group,Insurance - Specialty,4344378240
ESOA,Energy Services of America,Engineering & Construction,40501296
ESP,Espey Mfg. & Electronics,Electrical Equipment & Parts,56025520
ESPR,Esperion Therapeutics,Drug Manufacturers - Specialty & Generic,136717812
ESQ,Esquire Financial Holdings,Banks - Regional,319486192
ESRT,Empire State Realty Trust,REIT - Diversified,1784142742
ESS,Essex Property Trust,REIT - Residential,13903736364
ESSA,ESSA Bancorp,Banks - Regional,167262552
ESTA,Establishment Labs Holdings,Medical Devices,1754196304
ESTC,Elastic,Software - Application,5471119080
ESTE,Earthstone Energy,Oil & Gas E&P,2020974856
ET,Energy Transfer LP,Oil & Gas Midstream,39672643185
ETAO,ETAO International Co.,Health Information Services,11281734
ETD,Ethan Allen Interiors,"Furnishings, Fixtures & Appliances",689967116
ETN,Eaton Corporation,Specialty Industrial Machinery,67962405656
ETNB,89bio,Biotechnology,1046986957
ETON,Eton Pharmaceuticals,Biotechnology,92412903
ETR,Entergy,Utilities - Regulated Electric,22731914237
ETRN,Equitrans Midstream,Oil & Gas Midstream,2267714160
ETSY,"Etsy, Inc.",Internet Retail,13493254250
ETWO,E2open Parent Holdings,Software - Application,1762269080
EU,enCore Energy,Uranium,298127488
EUCR,Eucrates Biomedical Acquisition,Shell Companies,42649448
EUDA,EUDA Health Holdings,Health Information Services,33108488
EURN,Euronav NV,Oil & Gas Midstream,3250740240
EVA,Enviva,Lumber & Wood Production,2055705600
EVAX,Evaxion Biotech,Biotechnology,30120738
EVBG,Everbridge,Software - Application,1308148119
EVBN,Evans Bancorp,Banks - Regional,180950292
EVC,Entravision Communications,Broadcasting,592691340
EVCM,EverCommerce,Software - Infrastructure,2073053332
EVE,EVe Mobility Acquisition,Shell Companies,359556529
EVER,EverQuote,Internet Content & Information,465299007
EVEX,Eve Holding,Aerospace & Defense,1934785975
EVGN,Evogene,Biotechnology,25571590
EVGO,"EVgo, Inc.",Specialty Retail,1925488699
EVGR,Evergreen,Shell Companies,157274125
EVH,Evolent Health,Health Information Services,3568100760
EVI,EVI Industries,Industrial Distribution,251326000
EVLO,Evelo Biosciences,Biotechnology,22851580
EVLV,Evolv Technologies Holdings,Security & Protection Services,446848284
EVO,Evotec SE,Drug Manufacturers - Specialty & Generic,3790322464
EVOJ,Evo Acquisition,Shell Companies,41035689
EVOK,Evoke Pharma,Drug Manufacturers - Specialty & Generic,6151249
EVR,Evercore,Capital Markets,4458940122
EVRG,Evergy,Utilities - Regulated Electric,13878292834
EVRI,Everi Holdings,Gambling,1507116432
EVTC,EVERTEC,Software - Infrastructure,2165330188
EVTL,Vertical Aerospace,Aerospace & Defense,398432475
EVTV,Envirotech Vehicles,Auto Manufacturers,44462456
EW,Edwards Lifesciences,Medical Devices,49803234371
EWBC,East West Bancorp,Banks - Diversified,7695998320
EWCZ,European Wax Center,Household & Personal Products,1237416157
EWTX,Edgewise Therapeutics,Biotechnology,427654500
EXAI,Exscientia,Biotechnology,645042050
EXAS,Exact Sciences,Diagnostics & Research,11961943680
EXC,Exelon,Utilities - Regulated Electric,41571641524
EXEL,Exelixis,Biotechnology,6313214916
EXFY,Expensify,Software - Application,677066311
EXK,Endeavour Silver,Other Precious Metals & Mining,752384160
EXLS,ExlService Holdings,Information Technology Services,5398693272
EXP,Eagle Materials,Building Materials,5313387974
EXPD,Expeditors International of Washington,Integrated Freight & Logistics,16730673920
EXPE,Expedia Group,Travel Services,14578793790
EXPI,eXp World Holdings,Real Estate Services,1912015990
EXPO,Exponent,Consulting Services,5030816016
EXPR,Express,Apparel Retail,57607013
EXR,Extra Space Storage,REIT - Industrial,21971321073
EXTR,Extreme Networks,Communication Equipment,2449290720
EYE,National Vision Holdings,Specialty Retail,1489866371
EYEN,Eyenovia,Biotechnology,139427832
EYPT,EyePoint Pharmaceuticals,Biotechnology,108050985
EZFL,EZFill Holdings,Software - Application,8376438
EZGO,EZGO Technologies,Recreational Vehicles,58579150
EZPW,EZCORP,Credit Services,475259557
F,Ford Motor Company,Auto Manufacturers,49646385009
FA,First Advantage,Specialty Business Services,2024517610
FACT,Freedom Acquisition I,Shell Companies,444834365
FAF,First American Financial,Insurance - Specialty,5729038150
FAMI,Farmmi,Packaged Foods,10758150
FANG,Diamondback Energy,Oil & Gas E&P,26515903700
FANH,Fanhua,Insurance Brokers,472688480
FARM,Farmer Bros. Co.,Packaged Foods,74427674
FARO,FARO Technologies,Scientific & Technical Instruments,467631960
FAST,Fastenal Company,Industrial Distribution,30734831922
FAT,FAT Brands,Restaurants,113247876
FATBB,FAT Brands,Restaurants,113875447
FATE,Fate Therapeutics,Biotechnology,570320058
FATH,Fathom Digital Manufacturing,Computer Hardware,81409802
FATP,Fat Projects Acquisition,Shell Companies,88111673
FAZE,FaZe Holdings,Internet Content & Information,31902992
FBIN,Fortune Brands Innovations,Building Products & Equipment,7502629280
FBIO,Fortress Biotech,Biotechnology,102980970
FBIZ,First Business Financial Services,Banks - Regional,256262724
FBK,FB Financial,Banks - Regional,1423205588
FBMS,The First Bancshares,Banks - Regional,788399244
FBNC,First Bancorp,Banks - Regional,1459287480
FBP,First BanCorp.,Banks - Regional,2038815940
FBRT,Franklin BSP Realty Trust,REIT - Mortgage,991316560
FBRX,Forte Biosciences,Biotechnology,21094600
FC,Franklin Covey Co.,Consulting Services,537428250
FCAP,First Capital,Banks - Regional,86604301
FCBC,First Community Bankshares,Banks - Regional,402786406
FCCO,First Community,Banks - Regional,151290623
FCEL,FuelCell Energy,Electrical Equipment & Parts,1119820320
FCF,First Commonwealth Financial,Banks - Regional,1264312500
FCFS,FirstCash Holdings,Credit Services,4436740288
FCN,FTI Consulting,Consulting Services,6720941183
FCNCA,First Citizens BancShares,Banks - Regional,13713718614
FCPT,Four Corners Property Trust,REIT - Retail,2301148278
FCUV,Focus Universal,Scientific & Technical Instruments,159332970
FCX,Freeport-McMoRan,Copper,58944429978
FDBC,Fidelity D & D Bancorp,Banks - Regional,263816440
FDMT,4D Molecular Therapeutics,Biotechnology,575287464
FDP,Fresh Del Monte Produce,Farm Products,1452733100
FDS,FactSet Research Systems,Financial Data & Stock Exchanges,15915043908
FDUS,Fidus Investment,Asset Management,476471578
FDX,FedEx,Integrated Freight & Logistics,57519391680
FE,FirstEnergy,Utilities - Regulated Electric,22798912282
FEAM,5E Advanced Materials,Specialty Chemicals,230458824
FEDU,Four Seasons Education (Cayman),Education & Training Services,16247682
FEIM,Frequency Electronics,Communication Equipment,62293910
FELE,Franklin Electric Co.,Specialty Industrial Machinery,4320725526
FEMY,Femasys,Medical Instruments & Supplies,13412761
FENC,Fennec Pharmaceuticals,Biotechnology,217102530
FENG,Phoenix New Media,Internet Content & Information,26568642
FERG,Ferguson,Industrial Distribution,27284688538
FET,Forum Energy Technologies,Oil & Gas Equipment & Services,272273832
FEXD,Fintech Ecosystem Development,Shell Companies,152769445
FF,FutureFuel,Chemicals,330849792
FFBC,First Financial Bancorp.,Banks - Regional,2049269760
FFIC,Flushing Financial,Banks - Regional,440556696
FFIE,Faraday Future Intelligent Electric,Auto Manufacturers,227697183
FFIN,First Financial Bankshares,Banks - Regional,4459437500
